Unnamed: 0,id,title,sub_title,date_x,persian_date,service,category,relevance,duplicate,protests_categories,protest_ritual,violent,protest_form_en,protest_form_fa,issue,issue_specific,local_national_international,issue_location_name,location_category,target,organizer_type,civil_society_sector,main_political_sector,event_location_name,size_of_participants,arena_name,arena_type,event_date,is_multi_day,date_range_start,date_range_end,days_duration,_processing_status,_model_used,event_day,original_article_id,_is_expanded,duplicate_group_id
58089,61338,برخی استان‌ها به نحوه تخصیص آب اعتراض دارند,مدیرحوضه آبریز کرخه:,2018-01-01 07:52:51,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۰:۲۲,سرویس استان ها,"
                        لرستان
                        
                    ",Yes,No,Petitioning,Protest,No,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Water allocation,N/A,Local,لرستان,Province Center,Government,Unknown,Farmers,Unknown,Unknown,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58091,60720,برخورد با هرگونه تجمع فاقد مجوز,استاندار مرکزی خبرداد:,2018-01-01 08:39:28,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۱:۰۹,سرویس استان ها,"
                        مرکزی
                        
                    ",Yes,No,Confrontational protests (illegal and non violent),Protest,YES,illegal demonstration (if non-violent),تظاهرات بدون مجوز,Political,N/A,Local,Unknown,Province Center,Government,Unknown,Unknown,Unknown,Unknown,more than 100,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58094,60662,از حق اعتراض دفاع می‌کنیم نه اغتشاش و تخریب,عباس عبدی:,2018-01-01 10:12:30,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۲:۴۲,سرویس ایسنا+,"
                        رسانه دیگر
                        
                    ",Yes,No,Petitioning,Protest,Unknown,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Political,N/A,National,Unknown,Unknown,Government,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58095,60668,رویکرد وزارت کشور ایجاد محدودیت برای تجمع‌های قانونی نیست,مدیرکل سیاسی وزارت کشور :,2018-01-01 10:19:46,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۲:۴۹,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,Yes,Petitioning,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58098,61415,یک کشته در تجمعات شب گذشته ایذه/ ضارب دستگیر شده است,فرمانده ایذه خبر داد: ,2018-01-01 11:17:51,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۳:۴۷,سرویس استان ها,"
                        خوزستان
                        
                    ",Yes,No,Violent protests,Protest,YES,violent demonstration,تظاهرات خشونت آمیز,Human rights,N/A,Local,ایذه,City,Law Enforcement Force,Unknown,Unknown,Unknown,ایذه,unknown,Unknown,Unknown,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
58099,61417,اعتراض مردم فرصت است نه تهدید/دولت برای حل مشکلات سپرده گذاران 11 هزار میلیاردتومان پرداخت,رییس جمهور در جلسه با روسای کمیسیون های تخصصی مجلس:,2018-01-01 11:18:00,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۳:۴۸,سرویس سیاسی,"
                        دولت
                        
                    ",Yes,No,,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Economic,N/A,National,Unknown,NA,Government,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
58102,60636,مخالفان دولت، مردم را به خیابان‌ها کشاندند,محمدرضا خاتمی:,2018-01-01 11:34:46,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۴:۰۴,سرویس ایسنا+,,Yes,No,Demonstrative protests (legal and nonviolent),Protest,Unknown,public assembly,تجمع / اجتماع,Political,N/A,National,Unknown,Capital,Government,Unknown,Unknown,Reformist,تهران,unknown,Unknown,Public place,,No,,,1.0,success,gpt-4o-mini,,,,
58104,61449,اقدامات تخریبی و درگیری‌های فیزیکی به هیچ وجه مورد تایید قانون نیست,بهمن کشاورز در گفت‌وگو با ایسنا:,2018-01-01 12:31:21,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۵:۰۱,سرویس سیاسی,"
                        حقوقی و قضایی
                        
                    ",Yes,No,N/A,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Human rights,N/A,National,Unknown,NA,Government,Unknown,Lawyers,Unknown,Unknown,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,e3136944919345c600e670efd5ec6aed
58110,60573,برخی‌ها از تجمعات سوءاستفاده کرده و به اموال عمومی خسارت زده‌اند ,فرماندار کوهدشت:,2018-01-01 14:02:28,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۶:۳۲,سرویس استان ها,"
                        لرستان
                        
                    ",Yes,No,Confrontational protests (illegal and non violent),Protest,Unknown,limited destruction of property,آسیب محدود به اموال,Economic,N/A,National,Unknown,Province Center,Government,Unknown,Unknown,Unknown,کوهدشت,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58113,61495,استاندار منشاء تجمعات مشهد را اعلام کند,رئیس شورای شهر مشهد:,2018-01-01 14:31:45,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۷:۰۱,سرویس استان ها,"
                        خراسان رضوی
                        
                    ",Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Political,N/A,Local,مشهد,City,Government,Unknown,Unknown,Unknown,مشهد,unknown,تالار شهر,Public place,,No,,,1.0,success,gpt-4o-mini,,,,
58116,60534,راهپیمایی مردم زنجان در محکومیت تجمع‌های خیابانی,,2018-01-01 16:30:45,دوشنبه ۱۱ دی ۱۳۹۶ - ۱۹:۰۰,سرویس استان ها,"
                        زنجان
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Economic,N/A,Local,زنجان,City,Government,Ordinary Citizens,Economic/trade/business,Unknown,میدان انقلاب,unknown,مزار شهدای پایین زنجان,Public place,,No,,,1.0,success,gpt-4o-mini,,,,
58118,60548,تجمع جمعی از مردم اهواز در مخالفت با اغتشاش‌های خیابانی,,2018-01-01 18:23:24,دوشنبه ۱۱ دی ۱۳۹۶ - ۲۰:۵۳,سرویس استان ها,"
                        خوزستان
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Political,N/A,Local,اهواز,City,Government,Ordinary Citizens,Political,Unknown,خیابان نادری,medium group <50,خیابان نادری,Streets,,No,,,1.0,success,gpt-4o-mini,,,,
58121,60525,دستگیری مدیر کمپین «اتحاد مردمی» در کرمان,,2018-01-01 21:46:58,سه‌شنبه ۱۲ دی ۱۳۹۶ - ۰۰:۱۶,سرویس استان ها,"
                        کرمان
                        
                    ",Yes,No,Petitioning,Protest,Unknown,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Political,N/A,Local,کرمان,Province Center,Government,Campaign,Political,Unknown,کرمان,small group < 15,Unknown,Unknown,Unknown,No,,,1.0,success,gpt-4o-mini,,,,6ef06b702420da93c3b6b692cf5ffa6a
58124,61555,ناآرامی ها اخیر در دو بخش اعتراضات و اغتشاشات قابل تحلیل است,مشاور وزیر کشور:,2018-01-02 07:00:45,سه‌شنبه ۱۲ دی ۱۳۹۶ - ۰۹:۳۰,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",Yes,Yes,N/A,,,,,,,,,,,,,,,,Unknown,,,,,,,success,gpt-4o-mini,,,,fc2c958befe98a310cbae785829d7b73
58134,61617,به تجمعات معلمان با دیده هنجارشکنانه نگاه نمی‌کنیم/لزوم حمایت ازتشکلهای قانونی دانشگاه‌فرهنگیان,رییس مرکز حراست آموزش و پرورش:,2018-01-02 09:18:22,سه‌شنبه ۱۲ دی ۱۳۹۶ - ۱۱:۴۸,سرویس اجتماعی,"
                        آموزش و پرورش
                        
                    ",Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Labour,N/A,Local,Unknown,Unknown,Government,Labour Union,Teachers,Unknown,Unknown,Unknown,Unknown,Unknown,,No,,,1.0,success,gpt-4o-mini,,,,
58137,61649,آزادی تعدادی از دانشجویان بازداشتی در تجمعات اخیر/تشکیل کارگروه‌های حقوق شهروندی در دانشگاه‌ها ,وزیر علوم خبر داد؛,2018-01-02 10:23:00,سه‌شنبه ۱۲ دی ۱۳۹۶ - ۱۲:۵۳,سرویس علمی و دانشگاهی,"
                        صنفی، فرهنگی
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Student/university,N/A,Local,Unknown,University,University Officials,Formal student group,Student Movement,Unknown,دانشگاه تهران,small group < 15,Unknown,University campuses,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
58145,61683,مردم ساوه فردا در محکومیت اغتشاشات اخیر راهپیمایی می‌کنند,,2018-01-02 11:54:41,سه‌شنبه ۱۲ دی ۱۳۹۶ - ۱۴:۲۴,سرویس استان ها,"
                        مرکزی
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Political,N/A,Local,ساوه,City,Government,Ordinary Citizens,Political,Progovernment,ساوه,unknown,میدان مادر,Public place,2023-01-03,No,2023-01-03,2023-01-03,1.0,success,gpt-4o-mini,,,,
58148,60333,برگزاری تجمع و راهپیمایی مردم مشهد در محکومیت اغتشاشات اخیر,فرماندار خبر داد,2018-01-02 12:13:21,سه‌شنبه ۱۲ دی ۱۳۹۶ - ۱۴:۴۳,سرویس استان ها,"
                        خراسان رضوی
                        
                    ",Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,march/ rally,راهپیمایی,Political,N/A,Local,Unknown,City,Government,Campaign,Political,Unknown,میدان شهدا,unknown,میدان شهدا,Public place,Unknown,No,,,1.0,success,gpt-4o-mini,,,,
