Unnamed: 0,id,title,sub_title,date,persian_date,service,category,agency,relevance,duplicate,protests_categories,protest_ritual,violent,protest_form_en,protest_form_fa,issue,issue_specific,local_national_international,issue_location_name,location_category,target,organizer_type,civil_society_sector,main_political_sector,event_location_name,size_of_participants,arena_name,arena_type,event_date,is_multi_day,date_range_start,date_range_end,days_duration,_processing_status,_model_used,event_day,original_article_id,_is_expanded,duplicate_group_id
39668,1619008,ترور یک معلم در سرباز,,2015-01-02 07:52:42,جمعه ۱۲ دی ۱۳۹۳ - ۱۰:۲۲,سرویس استان ها,"
                        سیستان و بلوچستان
                        
                    ",isna,Yes,No,Armed conflict,Armed Conflicts,YES,armed attack,حمله/درگیری مسلحانه,Human rights,N/A,Local,نصیرآباد,Rural,Unknown,Unknown,Unknown,Unknown,نصیرآباد,unknown,Unknown,Unknown,2015-01-02,No,2015-01-02,2015-01-02,1.0,success,gpt-4o-mini,,,,
39669,1618752,نماینده ایرانشهر حادثه تروریستی سرباز را محکوم کرد,,2015-01-02 07:56:09,جمعه ۱۲ دی ۱۳۹۳ - ۱۰:۲۶,سرویس استان ها,"
                        سیستان و بلوچستان
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Human rights,N/A,Local,راسک,Town,Government,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,2015-01-02,No,2015-01-02,2015-01-02,1.0,success,gpt-4o-mini,,,,
39698,1619364,تجمع دندان‌پزشکان فارغ‌التحصیل خارج از کشور مقابل مجلس,,2015-01-04 06:06:03,یکشنبه ۱۴ دی ۱۳۹۳ - ۰۸:۳۶,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Labour,N/A,Local,Unknown,Capital,Parliament,Ordinary Citizens,Labour,Unknown,تهران,medium group < 50,مقابل مجلس,In front of state buildings,2015-01-04,No,2015-01-04,2015-01-04,1.0,success,gpt-4o-mini,,,,
39711,1618071, تجمع متقاضیان مسکن مهر پردیس مقابل خانه ملت ,,2015-01-04 09:24:53,یکشنبه ۱۴ دی ۱۳۹۳ - ۱۱:۵۴,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Economic,N/A,Local,پردیس,City,Parliament,Ordinary Citizens,Economic/trade/business,Unknown,تهران,Mob < 1000,مقابل مجلس شورای اسلامی,Parliament area,2015-01-04,No,2015-01-04,2015-01-04,1.0,success,gpt-4o-mini,,,,
39726,1619734,دستگیری تیم تروریستی در جنوب شرق کشور ,روابط عمومی قرارگاه قدس نیروی زمینی سپاه خبر داد:,2015-01-05 09:13:35,دوشنبه ۱۵ دی ۱۳۹۳ - ۱۱:۴۳,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",isna,Yes,No,Armed conflict,Armed Conflicts,YES,armed attack,حمله/درگیری مسلحانه,Political,N/A,Local,سرباز,Town,Military base,Armed/Separatist group,Unknown,Unknown,سرباز,unknown,Unknown,Unknown,2015-01-05,No,2015-01-05,2015-01-05,1.0,success,gpt-4o-mini,,,,
39733,1617567,دستگیری عوامل ترور معلم سربازی ,,2015-01-05 12:17:29,دوشنبه ۱۵ دی ۱۳۹۳ - ۱۴:۴۷,سرویس استان ها,"
                        سیستان و بلوچستان
                        
                    ",isna,Yes,No,Armed conflict,Protest,YES,armed attack,حمله/درگیری مسلحانه,Human rights,N/A,Local,سرباز,Town,Government,Unknown,Unknown,Unknown,سرباز,12,Unknown,Unknown,2015-01-05,No,2015-01-05,2015-01-05,1.0,success,gpt-4o-mini,,,,
39759,1620205, تجمع تعدادی از کارکنان پیمانی شرکت برق منطقه‌ای مقابل مجلس,,2015-01-07 07:01:04,چهارشنبه ۱۷ دی ۱۳۹۳ - ۰۹:۳۱,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Labour,N/A,National,Unknown,Capital,Government,Labour Union,Labour,Unknown,تهران,Large Group < 200,مقابل مجلس شورای اسلامی,In front of state buildings,2015-01-07,No,2015-01-07,2015-01-07,1.0,success,gpt-4o-mini,,,,
39800,1616170, مجمع نمایندگان استان سیستان و بلوچستان خواستار برخورد جدی با اقدامات تروریستی شد,,2015-01-10 09:20:42,شنبه ۲۰ دی ۱۳۹۳ - ۱۱:۵۰,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Security,N/A,National,سیستان و بلوچستان,Province Center,Government,Political Org./Party,Political,Unknown,تهران,unknown,Unknown,Unknown,2015-01-10,No,2015-01-10,2015-01-10,1.0,success,gpt-4o-mini,,,,
39827,1615308,تجمع مالباختگان پروژه‌ی مروارید مقابل مجلس,,2015-01-11 09:26:23,یکشنبه ۲۱ دی ۱۳۹۳ - ۱۱:۵۶,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Financial/banking,N/A,Local,Unknown,Capital,Parliament,Ordinary Citizens,Financial/banking,Unknown,تهران,medium group < 50,مقابل مجلس شورای اسلامی,In front of state buildings,2015-01-11,No,2015-01-11,2015-01-11,1.0,success,gpt-4o-mini,,,,
39833,1615835,قدردانی فعالان زیست محیطی شاهرود از ثبت انبار تاریخی نمک شاهرود,,2015-01-11 11:49:22,یکشنبه ۲۱ دی ۱۳۹۳ - ۱۴:۱۹,سرویس استان ها,"
                        سمنان
                        
                    ",isna,Yes,No,Petitioning,Protest,No,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Cultural,N/A,Local,شاهرود,City,Local authorities/agencies,NGO/Community,Environmental,Unknown,شاهرود,unknown,Unknown,Unknown,2015-01-11,No,2015-01-11,2015-01-11,1.0,success,gpt-4o-mini,,,,
39857,1614157,بیانیه انجمن دفاع از آزادی مطبوعات در محکومیت اعمال تروریستی در فرانسه,,2015-01-12 15:54:10,دوشنبه ۲۲ دی ۱۳۹۳ - ۱۸:۲۴,سرویس فرهنگی و هنری,"
                        رسانه
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Human rights,N/A,International,فرانسه,International,International Institution/Country,NGO/Community,Journalists,Unknown,Unknown,Unknown,Unknown,Unknown,2015-01-12,No,2015-01-12,2015-01-12,1.0,success,gpt-4o-mini,,,,
